File Name Group ChIP Mate
/mnt/cargo/epipp_fastqs/Sample_Exp1_12_h_H3K4me3/Exp1_12_h_H3K4me3_GCCAAT_L004_R1_001.fastq.gz Exp1_12h_H3K4me3 H3K4me3_12h ChIP 1
/mnt/cargo/epipp_fastqs/Sample_Exp1_12_h_H3K4me3/Exp1_12_h_H3K4me3_GCCAAT_L003_R1_001.fastq.gz Exp1_12h_H3K4me3 H3K4me3_12h ChIP 1
/mnt/cargo/epipp_fastqs/Sample_Exp1_12_h_H3K4me3/Exp1_12_h_H3K4me3_GCCAAT_L002_R1_002.fastq.gz Exp1_12h_H3K4me3 H3K4me3_12h ChIP 1
/mnt/cargo/epipp_fastqs/Sample_Exp1_12_h_H3K4me3/Exp1_12_h_H3K4me3_GCCAAT_L001_R1_002.fastq.gz Exp1_12h_H3K4me3 H3K4me3_12h ChIP 1
/mnt/cargo/epipp_fastqs/Sample_Exp1_12_h_H3K4me3/Exp1_12_h_H3K4me3_GCCAAT_L003_R1_002.fastq.gz Exp1_12h_H3K4me3 H3K4me3_12h ChIP 1
/mnt/cargo/epipp_fastqs/Sample_Exp1_12_h_Input_DNA/Exp1_12_h_Input_DNA_TGAACT_L001_R1_001.fastq.gz Exp1_12h_H3K4me3_Input H3K4me3_12h Input 1
/mnt/cargo/epipp_fastqs/Sample_Exp1_12_h_Input_DNA/Exp1_12_h_Input_DNA_TGAACT_L004_R1_001.fastq.gz Exp1_12h_H3K4me3_Input H3K4me3_12h Input 1
/mnt/cargo/epipp_fastqs/Sample_Exp1_12_h_Input_DNA/Exp1_12_h_Input_DNA_TGAACT_L002_R1_002.fastq.gz Exp1_12h_H3K4me3_Input H3K4me3_12h Input 1
/mnt/cargo/epipp_fastqs/Sample_Exp1_12_h_Input_DNA/Exp1_12_h_Input_DNA_TGAACT_L003_R1_001.fastq.gz Exp1_12h_H3K4me3_Input H3K4me3_12h Input 1
/mnt/cargo/epipp_fastqs/Sample_Exp1_12_h_Input_DNA/Exp1_12_h_Input_DNA_TGAACT_L004_R1_002.fastq.gz Exp1_12h_H3K4me3_Input H3K4me3_12h Input 1
/mnt/cargo/epipp_fastqs/Sample_Exp1_12_h_Input_DNA/Exp1_12_h_Input_DNA_TGAACT_L001_R1_002.fastq.gz Exp1_12h_H3K4me3_Input H3K4me3_12h Input 1
/mnt/cargo/epipp_fastqs/Sample_Exp1_12_h_Input_DNA/Exp1_12_h_Input_DNA_TGAACT_L002_R1_001.fastq.gz Exp1_12h_H3K4me3_Input H3K4me3_12h Input 1
/mnt/cargo/epipp_fastqs/Sample_Exp1_12_h_Input_DNA/Exp1_12_h_Input_DNA_TGAACT_L003_R1_002.fastq.gz Exp1_12h_H3K4me3_Input H3K4me3_12h Input 1
/mnt/cargo/epipp_fastqs/Sample_Exp1_12_h_Polymerase_II/Exp1_12_h_Polymerase_II_TTCCTG_L004_R1_001.fastq.gz Exp1_12h_PolII PolII_12h ChIP 1
/mnt/cargo/epipp_fastqs/Sample_Exp1_12_h_Polymerase_II/Exp1_12_h_Polymerase_II_TTCCTG_L002_R1_001.fastq.gz Exp1_12h_PolII PolII_12h ChIP 1
/mnt/cargo/epipp_fastqs/Sample_Exp1_12_h_Polymerase_II/Exp1_12_h_Polymerase_II_TTCCTG_L003_R1_001.fastq.gz Exp1_12h_PolII PolII_12h ChIP 1
/mnt/cargo/epipp_fastqs/Sample_Exp1_12_h_Polymerase_II/Exp1_12_h_Polymerase_II_TTCCTG_L001_R1_001.fastq.gz Exp1_12h_PolII PolII_12h ChIP 1
/mnt/cargo/epipp_fastqs/Sample_Exp1_12_h_Input_DNA/Exp1_12_h_Input_DNA_TGAACT_L001_R1_001.fastq.gz Exp1_12h_PolII_Input PolII_12h Input 1
/mnt/cargo/epipp_fastqs/Sample_Exp1_12_h_Input_DNA/Exp1_12_h_Input_DNA_TGAACT_L004_R1_001.fastq.gz Exp1_12h_PolII_Input PolII_12h Input 1
/mnt/cargo/epipp_fastqs/Sample_Exp1_12_h_Input_DNA/Exp1_12_h_Input_DNA_TGAACT_L002_R1_002.fastq.gz Exp1_12h_PolII_Input PolII_12h Input 1
/mnt/cargo/epipp_fastqs/Sample_Exp1_12_h_Input_DNA/Exp1_12_h_Input_DNA_TGAACT_L003_R1_001.fastq.gz Exp1_12h_PolII_Input PolII_12h Input 1
/mnt/cargo/epipp_fastqs/Sample_Exp1_12_h_Input_DNA/Exp1_12_h_Input_DNA_TGAACT_L004_R1_002.fastq.gz Exp1_12h_PolII_Input PolII_12h Input 1
/mnt/cargo/epipp_fastqs/Sample_Exp1_12_h_Input_DNA/Exp1_12_h_Input_DNA_TGAACT_L001_R1_002.fastq.gz Exp1_12h_PolII_Input PolII_12h Input 1
/mnt/cargo/epipp_fastqs/Sample_Exp1_12_h_Input_DNA/Exp1_12_h_Input_DNA_TGAACT_L002_R1_001.fastq.gz Exp1_12h_PolII_Input PolII_12h Input 1
/mnt/cargo/epipp_fastqs/Sample_Exp1_12_h_Input_DNA/Exp1_12_h_Input_DNA_TGAACT_L003_R1_002.fastq.gz Exp1_12h_PolII_Input PolII_12h Input 1
/mnt/cargo/epipp_fastqs/Sample_Exp1_15_h_H3K27me3/Exp1_15_h_H3K27me3_TGTACC_L002_R1_001.fastq.gz Exp1_15h_H3K27me3 H3K27me3_15h ChIP 1
/mnt/cargo/epipp_fastqs/Sample_Exp1_15_h_H3K27me3/Exp1_15_h_H3K27me3_TGTACC_L004_R1_002.fastq.gz Exp1_15h_H3K27me3 H3K27me3_15h ChIP 1
/mnt/cargo/epipp_fastqs/Sample_Exp1_15_h_H3K27me3/Exp1_15_h_H3K27me3_TGTACC_L002_R1_002.fastq.gz Exp1_15h_H3K27me3 H3K27me3_15h ChIP 1
/mnt/cargo/epipp_fastqs/Sample_Exp1_15_h_H3K27me3/Exp1_15_h_H3K27me3_TGTACC_L001_R1_002.fastq.gz Exp1_15h_H3K27me3 H3K27me3_15h ChIP 1
/mnt/cargo/epipp_fastqs/Sample_Exp1_15_h_H3K27me3/Exp1_15_h_H3K27me3_TGTACC_L003_R1_002.fastq.gz Exp1_15h_H3K27me3 H3K27me3_15h ChIP 1
/mnt/cargo/epipp_fastqs/Sample_Exp1_15_h_H3K27me3/Exp1_15_h_H3K27me3_TGTACC_L001_R1_001.fastq.gz Exp1_15h_H3K27me3 H3K27me3_15h ChIP 1
/mnt/cargo/epipp_fastqs/Sample_Exp1_15_h_H3K27me3/Exp1_15_h_H3K27me3_TGTACC_L003_R1_001.fastq.gz Exp1_15h_H3K27me3 H3K27me3_15h ChIP 1
/mnt/cargo/epipp_fastqs/Sample_Exp1_15_h_H3K27me3/Exp1_15_h_H3K27me3_TGTACC_L004_R1_001.fastq.gz Exp1_15h_H3K27me3 H3K27me3_15h ChIP 1
/mnt/cargo/epipp_fastqs/Sample_Exp1_15_h_Input_DNA/Exp1_15_h_Input_DNA_GGCACA_L002_R1_002.fastq.gz Exp1_15h_H3K27me3_Input H3K27me3_15h Input 1
/mnt/cargo/epipp_fastqs/Sample_Exp1_15_h_Input_DNA/Exp1_15_h_Input_DNA_GGCACA_L003_R1_001.fastq.gz Exp1_15h_H3K27me3_Input H3K27me3_15h Input 1
/mnt/cargo/epipp_fastqs/Sample_Exp1_15_h_Input_DNA/Exp1_15_h_Input_DNA_GGCACA_L003_R1_002.fastq.gz Exp1_15h_H3K27me3_Input H3K27me3_15h Input 1
/mnt/cargo/epipp_fastqs/Sample_Exp1_15_h_Input_DNA/Exp1_15_h_Input_DNA_GGCACA_L004_R1_002.fastq.gz Exp1_15h_H3K27me3_Input H3K27me3_15h Input 1
/mnt/cargo/epipp_fastqs/Sample_Exp1_15_h_Input_DNA/Exp1_15_h_Input_DNA_GGCACA_L001_R1_002.fastq.gz Exp1_15h_H3K27me3_Input H3K27me3_15h Input 1
/mnt/cargo/epipp_fastqs/Sample_Exp1_15_h_Input_DNA/Exp1_15_h_Input_DNA_GGCACA_L004_R1_001.fastq.gz Exp1_15h_H3K27me3_Input H3K27me3_15h Input 1
/mnt/cargo/epipp_fastqs/Sample_Exp1_15_h_Input_DNA/Exp1_15_h_Input_DNA_GGCACA_L002_R1_001.fastq.gz Exp1_15h_H3K27me3_Input H3K27me3_15h Input 1
/mnt/cargo/epipp_fastqs/Sample_Exp1_15_h_Input_DNA/Exp1_15_h_Input_DNA_GGCACA_L001_R1_001.fastq.gz Exp1_15h_H3K27me3_Input H3K27me3_15h Input 1
/mnt/cargo/epipp_fastqs/Sample_Exp1_15_h_H3K4me3/Exp1_15_h_H3K4me3_CAGATC_L003_R1_001.fastq.gz Exp1_15h_H3K4me3 H3K4me3_15h ChIP 1
/mnt/cargo/epipp_fastqs/Sample_Exp1_15_h_H3K4me3/Exp1_15_h_H3K4me3_CAGATC_L002_R1_002.fastq.gz Exp1_15h_H3K4me3 H3K4me3_15h ChIP 1
/mnt/cargo/epipp_fastqs/Sample_Exp1_15_h_H3K4me3/Exp1_15_h_H3K4me3_CAGATC_L002_R1_001.fastq.gz Exp1_15h_H3K4me3 H3K4me3_15h ChIP 1
/mnt/cargo/epipp_fastqs/Sample_Exp1_15_h_H3K4me3/Exp1_15_h_H3K4me3_CAGATC_L003_R1_002.fastq.gz Exp1_15h_H3K4me3 H3K4me3_15h ChIP 1
/mnt/cargo/epipp_fastqs/Sample_Exp1_15_h_H3K4me3/Exp1_15_h_H3K4me3_CAGATC_L004_R1_002.fastq.gz Exp1_15h_H3K4me3 H3K4me3_15h ChIP 1
/mnt/cargo/epipp_fastqs/Sample_Exp1_15_h_H3K4me3/Exp1_15_h_H3K4me3_CAGATC_L001_R1_002.fastq.gz Exp1_15h_H3K4me3 H3K4me3_15h ChIP 1
/mnt/cargo/epipp_fastqs/Sample_Exp1_15_h_H3K4me3/Exp1_15_h_H3K4me3_CAGATC_L004_R1_001.fastq.gz Exp1_15h_H3K4me3 H3K4me3_15h ChIP 1
/mnt/cargo/epipp_fastqs/Sample_Exp1_15_h_H3K4me3/Exp1_15_h_H3K4me3_CAGATC_L001_R1_001.fastq.gz Exp1_15h_H3K4me3 H3K4me3_15h ChIP 1
/mnt/cargo/epipp_fastqs/Sample_Exp1_15_h_Input_DNA/Exp1_15_h_Input_DNA_GGCACA_L002_R1_002.fastq.gz Exp1_15h_H3K4me3_Input H3K4me3_15h Input 1
/mnt/cargo/epipp_fastqs/Sample_Exp1_15_h_Input_DNA/Exp1_15_h_Input_DNA_GGCACA_L003_R1_001.fastq.gz Exp1_15h_H3K4me3_Input H3K4me3_15h Input 1
/mnt/cargo/epipp_fastqs/Sample_Exp1_15_h_Input_DNA/Exp1_15_h_Input_DNA_GGCACA_L003_R1_002.fastq.gz Exp1_15h_H3K4me3_Input H3K4me3_15h Input 1
/mnt/cargo/epipp_fastqs/Sample_Exp1_15_h_Input_DNA/Exp1_15_h_Input_DNA_GGCACA_L004_R1_002.fastq.gz Exp1_15h_H3K4me3_Input H3K4me3_15h Input 1
/mnt/cargo/epipp_fastqs/Sample_Exp1_15_h_Input_DNA/Exp1_15_h_Input_DNA_GGCACA_L001_R1_002.fastq.gz Exp1_15h_H3K4me3_Input H3K4me3_15h Input 1
/mnt/cargo/epipp_fastqs/Sample_Exp1_15_h_Input_DNA/Exp1_15_h_Input_DNA_GGCACA_L004_R1_001.fastq.gz Exp1_15h_H3K4me3_Input H3K4me3_15h Input 1
/mnt/cargo/epipp_fastqs/Sample_Exp1_15_h_Input_DNA/Exp1_15_h_Input_DNA_GGCACA_L002_R1_001.fastq.gz Exp1_15h_H3K4me3_Input H3K4me3_15h Input 1
